title,lokasi,harga,kamar_tidur,luas_bangunan_m2,luas_tanah_m2
Dijual Rumah   De Park De Naara BSD,"Bumi Serpong Damai, Tangerang Selatan",Rp4.250.000.000,4,200 m²,180 m²
Dijual rumah siap huni 2lt di taman permata Bintaro jaya sektor 9,"Bintaro, Tangerang Selatan",Rp3.600.000.000,5,220 m²,150 m²
Rmh brandnew dg swim pool bangun dr kav di Puri Bintaro Jy Sktr 9,"Bintaro, Tangerang Selatan",Rp5.800.000.000,6,350 m²,194 m²
"Rumah Dijual di The Savia Cluster Visana, BSD City","Serpong, Tangerang Selatan",Rp1.800.000.000,3,87 m²,84 m²
Dijual Rumah siap huni di Sky Mansion full Furniture,"Pamulang, Tangerang Selatan",Rp700.000.000,3,60 m²,55 m²
Dijual Rumah cantik konsep jepang siap huni berlokasi dibsd,"Serpong, Tangerang Selatan",Rp500.000.000,2,30 m²,50 m²
Dijual rumah 2 lantai siap huni lokasi Nusa Loka dekat Pasmod BSD,"Bumi Serpong Damai, Tangerang Selatan",Rp1.450.000.000,2,62 m²,90 m²
"Rumah Minimalis Modern 2 Lantai Bintaro Sektor 9, Tanggerang Selatan","Bintaro, Tangerang Selatan",Rp3.950.000.000,4,250 m²,180 m²
"Rumah Minimalis, Megah & Murah di Bintaro Sektor 9, Tanggerang Selatan","Bintaro, Tangerang Selatan",Rp2.400.000.000,2,90 m²,191 m²
JUAL CPT  TURUN HARGA  Ada Private Pool - Rumah Bintaro Jaya Sektor 7,"Bintaro, Tangerang Selatan",Rp6.500.000.000,5,345 m²,225 m²
Dijual Rumah murah butuh renovasi di Sektor 3 Bintaro Jaya,"Bintaro, Tangerang Selatan",Rp2.700.000.000,4,230 m²,180 m²
Dijual Rumah Mewah Posisi Hoek The Icon BSD City,"Bumi Serpong Damai, Tangerang Selatan",Rp5.250.000.000,4,220 m²,202 m²
