title,lokasi,harga,kamar_tidur,luas_bangunan_m2,luas_tanah_m2
Cluster Dakota Tipe Diantha at Suvarna Sutera,"Cikupa, Tangerang",Rp2.063.700.000,3,147 m²,120 m²
BSD City - Tanakayu Svani Tipe 6,"Pagedangan, Tangerang",Rp2.317.679.000,3,86 m²,66 m²
BSD City - Freja Chic Tipe 77,"Pagedangan, Tangerang",Rp2.021.751.000,3,77 m²,60 m²
Golden Park 3 Tipe Selena,"Cisauk, Tangerang",Rp999.000.000,2,45 m²,72 m²
Paramount Petals Tipe L7x12,"Curug, Tangerang",Rp1.650.000.000,3,59 m²,84 m²
Golden Kencana Tangerang Tipe Prada Basic/Premium/Premium+,"Curug, Tangerang",Rp893.360.000,2,50 m²,72 m²
Rumah Siap Huni Tanpa DP.  Cicilan Mulai dari 6 Jutaan,"Cikupa, Tangerang",Rp1.400.000.000,4,97 m²,77 m²
"Dijual rumah 1,5 lt full renov di Ciledug. Tangerang","Ciledug, Tangerang",Rp1.350.000.000,3,90 m²,75 m²
Dijual Rumah Dekat Palem Semi Dekat Pintu Tol Karawaci,"Karawaci, Tangerang",Rp775.000.000,3,128 m²,128 m²
Rumah Minimalis New Zuma Malibu Village di Gading Serpong,"Gading Serpong, Tangerang",Rp1.745.700.000,2,74 m²,56 m²
Rumah luas murah citra raya bunderan 4 Melia residence,"Cikupa, Tangerang",Rp795.000.000,3,90 m²,120 m²
Rumah graha bunga bintaro bebas banjir,"Pondok Aren, Tangerang",Rp1.575.000.000,3,100 m²,72 m²
"Jual Rumah di Perumahan Pondok Kacang Prima, Tangerang Selatan","Pondok Aren, Tangerang",Rp650.000.000,2,110 m²,110 m²
Rumah rapi siap huni rumah poris indah cengkareng,"Cipondoh Indah, Tangerang",Rp780.000.000,2,62 m²,64 m²
"Dijual Lelang Rumah Dikomplek Taman Anyelir , Cikokol Tangerang","Cikokol, Tangerang",Rp900.000.000,3,153 m²,153 m²
Graha Raya Cluster Fortune Garden Tipe Gerbera,"Ciledug, Tangerang",Rp1.385.100.000,2,33 m²,60 m²
PIK 2 - Villa Pasir Putih 5 Tipe 6x12.5,"Dadap, Tangerang",Rp3.083.000.000,3,108 m²,75 m²
PIK 2 - Villa Pasir Putih 5 Tipe 10x20,"Dadap, Tangerang",Rp8.018.000.000,4,274 m²,200 m²
Summarecon Serpong Cluster Heron Tipe 9x19 Standar,"Pagedangan, Tangerang",Rp5.320.000.000,3,217 m²,171 m²
BSD City - Anarta Tipe 34,Tangerang,Rp1.302.775.000,6,89 m²,34 m²
BSD City - Eonna Aerra Tipe 9,"Pagedangan, Tangerang",Rp6.284.254.000,4,255 m²,144 m²
Paramount Land - Matera Residence Tipe 10 x 20,"Pagedangan, Tangerang",Rp8.435.600.000,4,229 m²,200 m²
Grand Almas Residence Tipe Onyx,Tangerang,Rp550.800.000,3,57 m²,60 m²
Golden Park 3 Tipe Irish,"Cisauk, Tangerang",Rp796.000.000,2,30 m²,60 m²
Paramount Land - Fresco Cluster Virginia Village L4,"Gading Serpong, Tangerang",Rp822.800.000,2,41 m²,32 m²
Kota Sutera - Cluster Blossomville Tipe 91,"Pasar Kemis, Tangerang",Rp953.200.000,3,90 m²,105 m²
Magnolia Residence Tipe Purple,"Jatiuwung, Tangerang",,3,89 m²,105 m²
Grand Batavia 2 Cluster Sirena Tipe Athena,"Pasar Kemis, Tangerang",Rp708.806.677,3,61 m²,72 m²
Green Park Residence Tipe Olive,"Sodong, Tangerang",Rp390.000.000,2,36 m²,60 m²
Kebayoran Harmony Tipe Decco 7,"Pondok Aren, Tangerang",Rp2.530.000.000,3,96 m²,84 m²
PIK 2 - Villa Pasir Putih 5 Tipe 8x20,"Dadap, Tangerang",Rp6.506.000.000,3,228 m²,160 m²
PIK 2 - Villa Pasir Putih 5 Tipe 10x15,"Dadap, Tangerang",Rp5.195.000.000,4,204 m²,150 m²
Cendana Essence Residence Tipe 2B,"Curug, Tangerang",Rp1.163.700.700,3,68 m²,74 m²
Kota Sutera - Cluster Albizia Tipe 63,"Pasar Kemis, Tangerang",Rp731.300.000,3,63 m²,66 m²
Kana Park Cluster Kano Tipe 48,"Legok, Tangerang",Rp649.380.000,3,48 m²,72 m²
Paramount Land – Cluster Pasadena Tipe L9,"Pagedangan, Tangerang",Rp6.210.400.000,4,194 m²,228 m²
Summarecon Serpong Cluster Leonora Tipe 6,Tangerang,Rp1.627.110.000,3,80 m²,72 m²
Gladiola Residence Tipe 64/48,"Larangan, Tangerang",Rp852.000.000,2,64 m²,48 m²
Askara Nue Tipe 6,"Pagedangan, Tangerang",Rp2.100.267.000,2,70 m²,72 m²
Magnolia Residence Tipe Aster,"Jatiuwung, Tangerang",Rp596.000.000,2,35 m²,60 m²
BSD City - Enchante Tipe Opulence,"Lengkong Kulon, Tangerang",Rp31.005.403.000,4,760 m²,549 m²
BSD City - Layton at Nava Park Tipe 12,"Pagedangan, Tangerang",Rp16.274.700.000,5,463 m²,300 m²
Golden Park 3 Tipe Artemis,"Cisauk, Tangerang",Rp1.105.000.000,2,68 m²,60 m²
Metland Cyber City - Cluster Northbend Tipe 6,"Karang Tengah, Tangerang",Rp2.429.050.342,3,72 m²,72 m²
Green House Serpong Tipe 48/50,"Cisauk, Tangerang",Rp566.150.000,3,48 m²,50 m²
Terranea Homes Tipe Aralia (2 lantai),"Pagedangan, Tangerang",Rp1.136.693.330,2,74 m²,72 m²
Paramount Land - Fresco Cluster British Tipe L6,"Gading Serpong, Tangerang",Rp1.347.500.000,2,63 m²,72 m²
Summarecon Serpong Cluster Heron Tipe 11x19 Premium,"Pagedangan, Tangerang",Rp6.896.000.000,4,278 m²,209 m²
Kana Park Cluster Maru Tipe 69,Tangerang,Rp926.559.040,3,69 m²,84 m²
Paramount Land - Fresco Cluster Trimezia Tipe L8,"Gading Serpong, Tangerang",Rp4.263.000.000,3,138 m²,224 m²
Metland Cyber City - Cluster Northbend Tipe 7,"Karang Tengah, Tangerang",Rp2.809.135.798,3,86 m²,84 m²
Bali Resort Tangerang Tipe Bali Haus+,"Sepatan, Tangerang",Rp853.700.000,3,80 m²,60 m²
Bumi Bantar Panjang Tipe Sakura,"Tigaraksa, Tangerang",Rp293.000.000,2,27 m²,60 m²
Golden Kencana Tangerang Tipe Platina,"Curug, Tangerang",Rp830.960.000,3,52 m²,60 m²
Bumi Bantar Panjang Tipe Tulip,"Tigaraksa, Tangerang",Rp331.000.000,2,30 m²,60 m²
Kota Sutera - Cluster Albizia Tipe 69,"Pasar Kemis, Tangerang",Rp960.900.000,3,69 m²,72 m²
Lotus Residence Tipe Standar,"Teluknaga, Tangerang",Rp540.000.000,2,27 m²,54 m²
Di Jual Rumah Di Kunciran Pinang lokasi Strategis,"Pinang, Tangerang",Rp1.100.000.000,2,67 m²,135 m²
Golden Park 3 Tipe Selena,"Cisauk, Tangerang",Rp934.000.000,2,45 m²,72 m²
Golden Park 3 Tipe Irish,"Cisauk, Tangerang",Rp746.000.000,2,30 m²,60 m²
Golden Park 2 Tipe Fuchia Hook,"Cisauk, Tangerang",Rp1.248.990.750,2,45 m²,97 m²
Golden Park 2 Tipe Jasmine,"Cisauk, Tangerang",Rp1.335.450.900,3,68 m²,90 m²
Rumah Strategis Dijual di Forest Hill Harga Nego Bisa KPR J-17007,"Cisauk, Tangerang",Rp540.000.000,2,39 m²,70 m²
Rumah Strategis Harga Nego Dekat Terminal Bus Lippo Karawaci J-16464,"Karawaci, Tangerang",Rp800.000.000,2,36 m²,72 m²
Dijual Rumah 2 Lantai di Cosmo Western The Icon BSD Bisa KPR J-17909,"Cisauk, Tangerang",Rp1.750.000.000,3,100 m²,90 m²
IOLA at Ayodhya Garden Tipe 7x18,"Cikokol, Tangerang",Rp2.935.000.000,4,151 m²,126 m²
Rumah Bagus Siap Huni Di Kota Tangerang Bisa Nego,"Tangerang, Tangerang",Rp1.500.000.000,5,120 m²,120 m²
Myza – BSD City Tipe 41/30 Flathouse,"Pagedangan, Tangerang",Rp1.056.933.000,1,41 m²,30 m²
"Zena Co Living Tipe 71/35 – Zena Exclusive Shared House, BSD City","Pagedangan, Tangerang",Rp1.560.000.000,1,71 m²,35 m²
Cendana Botanic Type 3B,"Kelapa Dua, Tangerang",Rp1.023.000.000,3,88 m²,87 m²
Rumah Siap Huni Dekat Stasiun Cisauk Harga All In Siap Kpr J-16125,"Cisauk, Tangerang",Rp1.350.000.000,3,88 m²,78 m²
"Dijual rumah 1,5 lt full renov di Ciledug. Tangerang","Ciledug, Tangerang",Rp1.350.000.000,3,90 m²,75 m²
Dijual Rumah Dekat Palem Semi Dekat Pintu Tol Karawaci,"Karawaci, Tangerang",Rp775.000.000,3,128 m²,128 m²
Dijual Rumah Brand New Sedang Finishing Lokasi Samping Dan Depan Taman,"Pondok Aren, Tangerang",Rp14.500.000.000,5,350 m²,323 m²
Rumah Dekat Gading Serpong di Cluster Royal Karawaci Siap KPR J-15509,"Gading Serpong, Tangerang",Rp740.000.000,2,39 m²,72 m²
Paramount Land - Fresco Cluster Arcadia Village Tipe L7,"Gading Serpong, Tangerang",Rp2.411.500.000,3,125 m²,105 m²
Paramount Land - Fresco Cluster British Tipe L8,"Gading Serpong, Tangerang",Rp3.142.700.000,3,138 m²,128 m²
Grand Almas Residence Tipe Ruby,"Tigaraksa, Tangerang",Rp498.800.000,2,37 m²,60 m²
Cendana Botanic Tipe Residence,"Bojong Nangka, Tangerang",Rp985.883.088,3,68 m²,74 m²
Kebayoran Piazza Tipe Fernna,"Pondok Aren, Tangerang",Rp2.602.000.000,2,73 m²,67 m²
BSD City - Tanakayu Svadhi Tipe 6,"Pagedangan, Tangerang",Rp2.973.238.000,3,86 m²,66 m²
Puri Canary Tipe Cinnamon,"Pasar Kemis, Tangerang",Rp517.875.276,2,46 m²,60 m²
Askara Nue Tipe 7,"Pagedangan, Tangerang",Rp2.544.526.000,3,89 m²,77 m²
Giantara Serpong City Tipe Klaia,"Cisauk, Tangerang",Rp1.062.500.000,2,66 m²,60 m²
Kana Park Cluster Kano Tipe 50,"Legok, Tangerang",Rp617.600.000,2,50 m²,72 m²
Summarecon Serpong Cluster Heron Tipe 9x19 Premium,"Pagedangan, Tangerang",Rp5.452.000.000,4,231 m²,171 m²
Green Park Residence Tipe Camelia,"Sodong, Tangerang",Rp645.000.000,3,90 m²,60 m²
Summarecon Serpong - Cluster Carson Tipe 9,"Kelapa Dua, Tangerang",Rp3.544.875.000,3,135 m²,121 m²
Paramount New Amarillo Village Tipe L4,"Pagedangan, Tangerang",Rp856.700.000,2,41 m²,32 m²
Summarecon Serpong - Cluster Carson Tipe 8,"Kelapa Dua, Tangerang",Rp2.769.750.000,3,121 m²,108 m²
Suta Kasa Tipe Sora,Tangerang,Rp892.310.000,2,55 m²,60 m²
Springhill Yume Lagoon Tipe Sakura,"Cisauk, Tangerang",Rp1.127.094.000,2,72 m²,72 m²
Golden Vista Tipe Canola,"Legok, Tangerang",Rp299.000.000,1,22 m²,50 m²
Golden Park 3 Tipe Eyrine Plus,"Cisauk, Tangerang",Rp665.000.000,2,32 m²,50 m²
BSD City - Tanakayu Svani Tipe 5,"Pagedangan, Tangerang",Rp1.816.750.000,3,70 m²,50 m²
Gladiola Residence Tipe 96/84 Corner,"Larangan, Tangerang",Rp1.750.653.748,2,96 m²,106 m²
Myza – BSD City Tipe 44/36 Flathouse,"Pagedangan, Tangerang",Rp1.243.453.000,1,44 m²,36 m²
IOLA at Ayodhya Garden Tipe 7x18,"Cikokol, Tangerang",Rp2.935.000.000,4,151 m²,126 m²
Golden Vista Tipe Furano,"Legok, Tangerang",Rp819.547.436,3,67 m²,72 m²
Green House Serpong Tipe 65/65,"Cisauk, Tangerang",Rp764.100.000,4,65 m²,65 m²
Grand Almas Residence Tipe Sapphire,Tangerang,Rp671.800.000,3,73 m²,72 m²
Magnolia Residence Tipe Imperial,"Jatiuwung, Tangerang",Rp712.000.000,2,55 m²,72 m²
Terranea Homes Tipe Verda (2 lantai),"Pagedangan, Tangerang",Rp941.103.920,2,66 m²,60 m²
Heritage Residence at Puri 11 Tipe The 7 Corner,"Karang Tengah, Tangerang",Rp3.966.094.714,4,164 m²,113 m²
Magnolia Residence Tipe Crimson,"Jatiuwung, Tangerang",Rp870.000.000,2,47 m²,75 m²
Rumah Dijual di Serpong Garden 2 Lokasi Strategis Dekat Tol J-17431,"Cisauk, Tangerang",Rp600.000.000,2,33 m²,60 m²
The Blizfield at BSD City Tipe 9,"Pagedangan, Tangerang",Rp5.350.000.000,4,177 m²,144 m²
Rumah free biaya KPR di karawaci all in hanya 10 juta,"Karawaci, Tangerang",Rp1.218.000.000,4,77 m²,72 m²
Cendana Botanic Type 1,"Kelapa Dua, Tangerang",Rp736.000.000,2,55 m²,60 m²
Golden Park 2 Tipe Sakura,"Cisauk, Tangerang",Rp939.776.550,3,50 m²,51 m²
Golden Park 3 Tipe New Oryza,"Cisauk, Tangerang",Rp899.000.000,3,51 m²,60 m²
Cluster Oxalis Tipe C – Metland Puri,"Cipondoh, Tangerang",Rp1.650.000.000,3,67 m²,66 m²
Rumah Baru 3 Lantai Cluster Terakhir Duta Garden 10 Menit Ke Bandara,"Benda, Tangerang",Rp2.664.000.000,3,119 m²,72 m²
Rumah Dekat Alam Sutera di Puri Dewata Indah Harga Nego J-16061,"Cipondoh, Tangerang",Rp1.130.000.000,3,80 m²,120 m²
cluster Goldfinch Sumarecon Serpong harga 5M an,"Gading Serpong, Tangerang",Rp5.900.000.000,5,230 m²,250 m²
Myza – BSD City Tipe 44/36 Flathouse,"Pagedangan, Tangerang",Rp1.243.453.000,1,44 m²,36 m²
Dijual Rumah Gading Serpong Konsep Attic Strozzi by Summarecon Serpong,"Gading Serpong, Tangerang",Rp3.100.000.000,4,161 m²,96 m²
Rumah Ready Stock,"Sepatan Timur, Tangerang",Rp350.000.000,2,36 m²,72 m²
Rumah Hook di Imperium Design Lippo Karawaci Bisa KPR Nego J-15780,"Karawaci, Tangerang",Rp2.320.000.000,3,200 m²,168 m²
"Dijual Rumah Murah Mutiara Korelet 2, dekat Citra raya, Tangerang",Tangerang,Rp295.000.000,2,50 m²,60 m²
Rumah Cluster Siap Huni di Cipadu Lokasi Strategis Harga Ekonomis,"Cipadu Jaya, Tangerang",Rp1.100.000.000,3,60 m²,90 m²
Rumah giantara serpong,"Cisauk, Tangerang",Rp1.200.000.000,3,72 m²,89 m²
Rumah 1lt Jaya imperial park minimalis modern dekat Tol,"Sepatan, Tangerang",Rp490.000.000,2,31 m²,60 m²
Graha Raya Cluster Fortune Garden Tipe Achilea,"Ciledug, Tangerang",Rp1.066.300.000,2,33 m²,60 m²
PIK 2 - Villa Pasir Putih 5 Tipe 10x25,"Dadap, Tangerang",Rp11.486.000.000,4,336 m²,250 m²
Daru Metropolis Cluster Helsinki Tipe 22/60,"Jambe, Tangerang",Rp223.758.077,2,22 m²,60 m²
Cendana Essence Villa Tipe 1,"Curug, Tangerang",Rp898.586.568,3,55 m²,60 m²
Kota Sutera - Cluster Blossomville Tipe 45,"Pasar Kemis, Tangerang",Rp497.000.000,2,45 m²,75 m²
Bumi Bantar Panjang Tipe Aster,"Tigaraksa, Tangerang",Rp292.605.000,2,30 m²,60 m²
Springhill Yume Lagoon Tipe Yuri,"Cisauk, Tangerang",Rp595.737.000,1,30 m²,50 m²
Graha Raya Cluster Fortune Garden Tipe Dhya,"Ciledug, Tangerang",Rp1.232.800.000,2,55 m²,60 m²
Cendana Botanic Type 1,"Kelapa Dua, Tangerang",Rp816.714.258,2,55 m²,60 m²
Cendana Botanic Type 3B,"Kelapa Dua, Tangerang",Rp1.135.943.804,3,88 m²,87 m²
Daru Metropolis Cluster Catania Tipe 36/96,"Jambe, Tangerang",Rp391.866.446,2,36 m²,96 m²
BSD City - Grand Freja Tipe 118,"Pagedangan, Tangerang",Rp3.353.413.000,4,118 m²,104 m²
Golden Park 3 Tipe Luna,"Cisauk, Tangerang",Rp1.489.000.000,3,90 m²,84 m²
BSD City - Tanakayu Svasti Tipe 6,"Pagedangan, Tangerang",Rp2.393.246.000,3,86 m²,66 m²
Heritage Residence at Puri 11 Tipe The 7,"Karang Tengah, Tangerang",Rp3.232.688.172,4,158 m²,88 m²
Golden Vista Tipe Venesia,"Legok, Tangerang",Rp482.829.487,2,31 m²,60 m²
Park Serpong Tipe Y,"Legok, Tangerang",Rp461.689.222,2,40 m²,31 m²
Summarecon Serpong Cluster Heron Tipe 11x16 Standar,"Pagedangan, Tangerang",Rp5.629.000.000,3,247 m²,176 m²
Sinar Mitbana Mas - Hiera Tipe 9,"Pagedangan, Tangerang",Rp4.900.000.000,4,225 m²,144 m²
BSD City - Tanakayu Svadhi Tipe 5,"Pagedangan, Tangerang",Rp2.484.922.000,3,70 m²,50 m²
Askara Nue Tipe 8,"Pagedangan, Tangerang",Rp3.637.535.000,3,117 m²,104 m²
Summarecon Serpong Cluster Heron Tipe 11x16 Premium,"Pagedangan, Tangerang",Rp4.760.000.000,4,261 m²,176 m²
Paramount - Boston Village Tipe 6x12,"Gading Serpong, Tangerang",Rp1.492.100.000,2,44 m²,72 m²
Daru Metropolis Cluster Illinois Tipe 22/60,"Jambe, Tangerang",Rp210.993.120,2,22 m²,60 m²
Suma Village Tipe 5,"Curug, Tangerang",Rp819.674.000,2,55 m²,60 m²
Grand Batavia 2 Cluster Sirena Tipe Selena,"Pasar Kemis, Tangerang",Rp456.490.585,2,31 m²,60 m²
Paramount Land - Fresco Cluster Virginia Village L5,"Gading Serpong, Tangerang",Rp999.100.000,2,53 m²,540 m²
Bumi Bantar Panjang Tipe Aster,"Tigaraksa, Tangerang",Rp320.000.000,2,30 m²,60 m²
Bumi Bantar Panjang Tipe Tulip,"Tigaraksa, Tangerang",Rp300.727.500,2,31 m²,60 m²
Golden Park 3 Tipe Oryza,"Cisauk, Tangerang",Rp798.000.000,2,36 m²,560 m²
Grand Batavia Cluster Amore Tipe Azalea,"Pasar Kemis, Tangerang",Rp567.476.195,2,46 m²,60 m²
The Blizfield at BSD City Tipe 10,"Pagedangan, Tangerang",Rp6.994.291.000,4,248 m²,180 m²
The Blizfield at BSD City Tipe 9,"Pagedangan, Tangerang",Rp5.350.000.000,4,177 m²,144 m²
Springhill Yume Lagoon Tipe Tsubaki,"Cisauk, Tangerang",Rp866.355.000,2,46 m²,72 m²
Magnolia Residence Tipe Azure,"Jatiuwung, Tangerang",Rp1.156.050.000,2,47 m²,60 m²
"Dijual Rumah Cluster Malibu, Gading Serpong, Tangerang, Siap Huni","Gading Serpong, Tangerang",Rp1.300.000.000,2,68 m²,56 m²
Golden Park 2 Tipe Azalea,"Cisauk, Tangerang",Rp1.179.667.800,3,60 m²,75 m²
Golden Park 2 Tipe Redwood Hook,"Cisauk, Tangerang",Rp2.519.889.955,4,142 m²,163 m²
The Blizfield at BSD City Tipe 10,"Pagedangan, Tangerang",Rp6.994.291.000,4,248 m²,180 m²
Rumah Strategis Dijual 8 Menit Ke Rs Selaras Harga All In J-16124,"Cisauk, Tangerang",Rp960.000.000,2,54 m²,72 m²
LAUNCHING SOON RUMAH BARU DI MELROSE GRAND DUTA GARDEN TANGGERANG,"Benda, Tangerang",Rp1.700.000.000,4,98 m²,98 m²
Jual Rumah Siap Huni di Perumahan Dasana Indah Bisa KPR J-18799,"Pagedangan, Tangerang",Rp660.000.000,2,60 m²,60 m²
Rumah Dijual di Sentraland Paradise Cluster Malta Bisa KPR J-17365,"Cisauk, Tangerang",Rp540.000.000,2,36 m²,72 m²
Rumah Harga Nego Dijual di Griya Loka BSD Siap KPR Bisa Nego J-19799,"Gading Serpong, Tangerang",Rp1.500.000.000,2,80 m²,90 m²
Rumah Concept Jepang Siap Huni Tanpa DP,"Cikupa, Tangerang",Rp2.800.000.000,4,165 m²,77 m²
Rumah Dijual di Perumahan Pondok Maharta Harga Nego Bisa KPR J-19238,"Pondok Aren, Tangerang",Rp430.000.000,3,82 m²,82 m²
Rumah Pasadena Grand Residences Gading Serpong,"Gading Serpong, Tangerang",Rp7.397.100.000,5,283 m²,216 m²
Rumah Mewah 4 Lantai sangat dekat Tol dan Bandara Soekarno Hatta,"Benda, Tangerang",Rp3.600.000.000,5,175 m²,84 m²
Rumah Modern 2 Lantai di Kavling DKI Bebas Banjir Harga All In J-15576,"Ciledug, Tangerang",Rp1.800.000.000,3,98 m²,67 m²
Rumah Seken Full Furnish Dekat Stasiun Pondok Ranji Siap Huni J-11956,"Ciledug, Tangerang",Rp1.990.000.000,3,109 m²,84 m²
DI JUAL RUMAH DEKAT STASIUN DARU TANPA DP,"Daru, Tangerang",Rp230.000.000,1,22 m²,60 m²
"Karawaci, Rumah tinggal bersih dan nyaman",Tangerang,Rp1.050.000.000,4,144 m²,66 m²
Daru Metropolis Cluster Illinois Tipe 22/72,"Jambe, Tangerang",Rp230.000.000,2,22 m²,72 m²
Naira Residence 2 Lake View Tipe Alexandrina,"Cisauk, Tangerang",Rp898.000.000,2,50 m²,60 m²
Golden Park 2 Tipe Fuchia,"Cisauk, Tangerang",Rp1.083.650.900,2,42 m²,60 m²
BSD City - Tanakayu Chava Tipe 7,"Pagedangan, Tangerang",Rp3.304.663.000,3,126 m²,84 m²
Paramount New Amarillo Village Tipe L6,"Pagedangan, Tangerang",Rp1.778.600.000,3,67 m²,72 m²
Kana Park Cluster Kano Tipe 52,"Legok, Tangerang",Rp748.580.000,2,52 m²,72 m²
Golden Park 2 Tipe Ebony,"Cisauk, Tangerang",Rp850.000.000,2,42 m²,52 m²
Daru Metropolis Cluster Catania Tipe 52/96,"Jambe, Tangerang",Rp456.487.801,3,52 m²,96 m²
Panorama Sepatan 1 Tipe 65/70,"Sepatan Timur, Tangerang",Rp773.125.000,4,65 m²,70 m²
Paramount New Amarillo Village Tipe L5,"Pagedangan, Tangerang",Rp1.037.100.000,2,53 m²,40 m²
Heritage Residence at Puri 11 Tipe The 9 Corner,"Karang Tengah, Tangerang",Rp4.989.892.473,4,225 m²,147 m²
Golden Park 3 Tipe New Oryza,"Cisauk, Tangerang",Rp969.000.000,3,51 m²,60 m²
BSD City - The Blizfield Tipe 8,"Pagedangan, Tangerang",Rp3.929.994.000,4,146 m²,112 m²
Magnolia Residence Tipe Rose,"Jatiuwung, Tangerang",,3,98 m²,90 m²
Paramount Land - Fresco Cluster British Tipe L5,"Gading Serpong, Tangerang",Rp1.145.800.000,2,53 m²,60 m²
Paramount Petals Tipe L6x12,"Curug, Tangerang",Rp980.000.000,3,51 m²,72 m²
Kota Sutera - Cluster Britania Tipe 36,"Pasar Kemis, Tangerang",Rp440.800.000,2,36 m²,66 m²
PIK 2 - Villa Pasir Putih 5 Tipe 8x15,"Dadap, Tangerang",Rp4.871.000.000,3,169 m²,120 m²
Naira Residence 2 Lake View Tipe Como-B,"Cisauk, Tangerang",Rp1.148.000.000,3,60 m²,77 m²
Daru Metropolis Cluster Helsinki Tipe 27/72,"Jambe, Tangerang",Rp280.920.087,2,27 m²,72 m²
Springhill Yume Lagoon Tipe Ajisai,"Cisauk, Tangerang",Rp707.403.000,2,36 m²,60 m²
Golden Flower Legok Tipe Amaryllis Premium,"Pagedangan, Tangerang",Rp532.000.000,2,31 m²,50 m²
Tanakayu Vasya – BSD City Tipe 7,"Pagedangan, Tangerang",Rp3.352.955.000,3,137 m²,84 m²
BSD City - The Blizfield Tipe 10,"Pagedangan, Tangerang",Rp7.575.215.000,4,248 m²,180 m²
Kota Sutera - Cluster Blossomville Tipe 63,"Pasar Kemis, Tangerang",Rp670.900.000,3,63 m²,97 m²
Golden Park 3 Tipe Oryza Mezzanine,"Cisauk, Tangerang",Rp903.860.000,2,39 m²,60 m²
Kana Park Cluster Kano Tipe 33,"Legok, Tangerang",Rp503.990.000,2,33 m²,50 m²
Summarecon Serpong Cluster Heron Tipe 9x16 Premium,"Pagedangan, Tangerang",Rp4.784.000.000,4,218 m²,144 m²
Gladiola Residence Tipe 96/84,"Larangan, Tangerang",Rp1.514.916.667,2,96 m²,84 m²
Grand Batavia Cluster Amore Tipe Alamanda,"Pasar Kemis, Tangerang",Rp667.937.951,3,63 m²,72 m²
Paramount Land - Fresco Cluster Trimezia Tipe L6,"Gading Serpong, Tangerang",Rp2.482.500.000,3,63 m²,140 m²
Sinar Mitbana Mas - Hiera Tipe 8,"Pagedangan, Tangerang",Rp3.900.000.000,4,166 m²,128 m²
Kota Sutera - Cluster Rotterdam 36/60,"Pasar Kemis, Tangerang",Rp535.700.000,3,36 m²,60 m²
Kota Sutera - Cluster Britania Tipe 42,"Pasar Kemis, Tangerang",Rp483.600.000,2,42 m²,72 m²
Sinar Mitbana Mas - Hiera Tipe 7,"Pagedangan, Tangerang",Rp2.800.000.000,3,118 m²,98 m²
Kota Sutera - Cluster Blossomville Tipe 75,"Pasar Kemis, Tangerang",Rp739.300.000,3,75 m²,90 m²
Bali Resort Tangerang Tipe Bali Suite Hook,"Sepatan, Tangerang",Rp1.260.700.000,3,108 m²,88 m²
BSD City - The Blizfield Tipe 9,"Pagedangan, Tangerang",Rp5.725.699.000,4,177 m²,144 m²
Suta Kasa Tipe Siena,Tangerang,Rp724.170.000,1,33 m²,60 m²
Paramount Land - Fresco Cluster Arcadia Village Tipe L6,"Gading Serpong, Tangerang",Rp1.239.600.000,2,63 m²,48 m²
Golden Park 2 Tipe Mahogany,"Cisauk, Tangerang",Rp1.595.530.000,3,88 m²,105 m²
Golden Park 2 Tipe New Amarilis,"Cisauk, Tangerang",Rp960.775.650,2,50 m²,60 m²
Dijual Cepat BU Siap Huni Furnish Rumah Citra Raya Cikupa. Tangerang,"Cikupa, Tangerang",Rp1.000.000.000,2,45 m²,84 m²
Matera Residences Promo Tunai Keras 15x tanpa bunga,"Gading Serpong, Tangerang",Rp6.345.100.000,6,208 m²,162 m²
Jual rumah siap huni di bintaro dekat area bisnis  bintaro,"Pondok Aren, Tangerang",Rp750.000.000,2,60 m²,66 m²
JUAL BU  Gading Serpong Cluster Tesla HOOK hadap Selatan. Scientia Bou,"Gading Serpong, Tangerang",Rp2.700.000.000,3,80 m²,86 m²
"Kontrakan Strategis Cipondoh, Green lake city, green village Tangerang","Cipondoh, Tangerang",Rp4.755.555.500,23,800 m²,1000 m²
Cluster The Northbend Tipe 6x12 – Metland Cyber City,"Karang Tengah, Tangerang",Rp1.799.226.000,3,72 m²,72 m²
Golden Park 3 Tipe Hermes,"Cisauk, Tangerang",Rp960.400.000,3,58 m²,60 m²
Golden Park 2 Tipe Edelweiss,"Cisauk, Tangerang",Rp1.199.890.750,3,60 m²,71 m²
Golden Park 3 Tipe Eyrine Plus,"Cisauk, Tangerang",Rp575.000.000,2,29 m²,50 m²
Golden Park 3 Tipe Celine,"Cisauk, Tangerang",Rp586.000.000,2,31 m²,50 m²
Rumah Mewah Design Tropis Pasadena Grand Residences,"Gading Serpong, Tangerang",Rp7.545.200.000,5,283 m²,216 m²
Rumah Minimalis 6 menit ke Summarecon Mall Serpong Bisa KPR J-8290,"Gading Serpong, Tangerang",Rp1.610.000.000,4,120 m²,141 m²
Dijual Rumah Minimalis di Perum Cluster Agung Indah Bisa KPR J-16173,"Legok, Tangerang",Rp540.000.000,2,36 m²,72 m²
Dijual rumah 2lt renov Graha Raya Tangerang Selatan,"Paku Jaya, Tangerang",Rp2.200.000.000,4,175 m²,122 m²
Golden Park 3 Tipe Rhea Premium,"Cisauk, Tangerang",Rp1.352.800.000,3,52 m²,107 m²
Bumi Bantar Panjang Tipe Azalea A,"Tigaraksa, Tangerang",Rp227.000.000,2,27 m²,60 m²
Puri Canary Tipe Crested,"Pasar Kemis, Tangerang",Rp419.933.357,2,31 m²,60 m²
Kana Park Cluster Kano Tipe 39,"Legok, Tangerang",Rp596.780.000,2,39 m²,60 m²
